englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Bowmore 1995 SMWS 3.250 Sweet and salty perfumed smoke,波摩 1995 SMWS 3.250,Bowmore,Scotch Malt Whisky Society,1995,20,0.543,700,豬頭(二次充填),,254,,,152,"2,900.00",日本限定,,2016/7/4,2019/3/19,2019/3/20
Bowmore 1997 Douglas Laing 21 Year Old / XOP,波摩 1997 21年 XOP,Bowmore,Douglas Laing,1997,21,0.562,700,豬頭(二次充填),DL 12539,317,88.33,,180,,,,2019/3/4,,2019/2/27
Bowmore 1997 Hand Filled 16 Year Old Cask #23,波摩 1997 手工裝填 16年 #23,Bowmore,官方,1997,16,0.555,700,雪莉(一次充填),23,600,91.03,,310,,第一版,,2019/3/4,,2019/2/27
Bowmore 1998 Hand Filled 20 Year Old Cask #58,波摩 1998 手工裝填 20年 #58,Bowmore,官方,1998,20,0.575,700,Oloroso 雪莉,58,,91.44,18000,323,,FB起跑18000流標/30th Edition,,2019/3/4,,2019/2/27
Bowmore 1999 Hand Filled 19 Year Old Cask #2116,波摩 1999 手工裝填 19年 #2116,Bowmore,官方,1999,19,0.55,700,Oloroso 雪莉 (一次充填),2116,,90.26,,270,,,,2019/3/4,,2019/2/27
Bowmore 2000 Hand Filled 17 Year Old Cask #2495,波摩 2000 手工裝填 17年 #2495,Bowmore,官方,2000,17,0.569,700,雪莉 Puncheon (一次充填),2495,,91.49,,340,"4,900.00",,,2019/3/4,2019/3/19,2019/3/20
Bowmore 2000 Hand Filled Cask 17 Year Old #2488,波摩 2000 手工裝填 17年 #2488,Bowmore,官方,2000,17,0.581,700,Oloroso 雪莉 (一次充填),2488,489,92.03,,350,,,,2019/3/4,,2019/2/27
Bowmore 2000 MoS,波摩 2000 MoS #18019,Bowmore,Malts of Scotland,2000,,0.538,700,雪莉 豬頭,MoS 18019,254,88.23,,,"2,200.00",2018裝瓶,,,2019/3/24,2019/3/25
Bowmore 2000 MoS The warehouse dram No. 18,波摩 2000 MoS #17005,Bowmore,Malts of Scotland,2000,,0.528,500,義大利Barolo葡萄橡木桶,MoS 17005,187,87.68,6800,,,2017裝瓶,2019/3/11,,,2019/3/22
Bowmore 2001 BA Raw Cask,波摩 黑蛇 2001,Bowmore,Blackadder,2001,13,0.573,700,豬頭,,292,85,3100,,,,,,,2019/3/6
